Date,Spain,Andalucía,Aragón,Principado de Asturias,Castilla y León,Castilla-La Mancha,Canarias,Catalunya,Galicia,Illes Balears,Región de Murcia,Comunidad de Madrid,País Vasco,Comunidad Valenciana
2010-11-14,12,6,15,22,19,13,17,15,17,10,7,13,12,7
2010-11-21,16,9,14,19,17,11,17,21,18,12,7,12,18,10
2010-11-28,13,5,13,17,18,11,16,14,26,12,6,13,19,10
2010-12-05,20,11,14,18,17,12,14,39,69,13,6,16,19,8
2010-12-12,26,6,15,25,21,12,15,50,126,14,6,22,24,17
2010-12-19,54,9,22,41,25,12,19,118,188,20,8,48,40,28
2010-12-26,209,36,41,190,59,22,32,332,509,49,13,173,168,105
2011-01-02,256,70,110,1042,156,45,28,215,894,130,17,228,962,155
2011-01-09,170,100,211,758,193,114,30,120,536,196,50,157,666,117
2011-01-16,89,113,148,315,192,140,69,48,204,168,83,79,313,58
2011-01-23,69,110,97,181,119,109,93,55,127,143,83,58,166,52
2011-01-30,60,93,74,103,85,104,105,37,94,103,68,48,100,64
2011-02-06,61,105,51,68,64,83,118,46,96,72,63,50,75,37
2011-02-13,40,48,44,58,44,81,70,47,77,65,60,31,63,24
2011-02-20,27,35,41,46,33,56,45,39,45,53,52,24,50,14
2011-02-27,20,20,34,38,35,39,28,25,41,38,40,15,38,13
2011-03-06,18,20,35,30,30,28,22,17,37,33,30,22,32,12
2011-03-13,16,16,29,27,26,23,18,12,41,28,21,19,24,9
2011-03-20,12,11,20,24,25,19,14,9,32,23,15,14,17,10
2011-03-27,12,9,15,21,28,16,12,9,32,20,12,12,14,13
2011-04-03,10,8,14,17,26,14,13,11,30,16,10,8,12,10
2011-04-10,9,6,12,18,22,12,14,14,25,15,8,7,10,8
2011-04-17,6,4,11,17,19,11,11,5,25,13,7,6,8,7
2011-04-24,6,5,9,14,16,8,12,6,19,11,7,5,6,6
2011-05-01,6,5,8,14,15,7,11,5,16,10,7,8,6,4
2011-05-08,6,6,10,13,13,6,8,8,13,9,6,7,5,4
2011-05-15,6,6,10,11,12,6,7,8,13,8,6,10,5,3
2011-05-22,5,4,10,10,11,6,6,5,12,7,6,7,5,4
2011-05-29,5,5,8,10,11,6,6,5,9,7,6,5,5,3
2011-06-05,5,4,7,8,10,5,5,4,9,7,5,5,5,4
2011-06-12,5,4,6,8,8,6,5,4,9,7,5,5,4,4
